user_id,persona_type,gender,age,province,city,tenure_months,arpu_yuan,data_usage_gb,call_minutes,current_plan,device,preferred_channel,interested_features,satisfaction,churn_risk,interaction_count,last_interaction_days
CM000075,潮流青年,男,17,河北,保定,10,87.0,92.0,282,和家庭168,iPhone 15 Pro,10086热线,音乐畅听|游戏加速|视频会员,一般,高风险,6,27
CM000076,学生群体,女,20,贵州,遵义,104,40.88,61.8,28,和家庭168,iPhone 14,APP,兼职通话|假期短号|学习APP免流,满意,中高风险,19,32
CM000077,商务精英,女,38,四川,宜宾,183,208.14,47.1,1730,和家庭168,三星S24,网上营业厅,企业VPN|商务彩铃|云存储,一般,中低风险,15,36
CM000078,潮流青年,女,28,青海,西宁,34,114.13,143.2,198,动感地带校园版,realme GT5,网上营业厅,流量不限量|视频会员|社交免流,满意,中低风险,21,12
CM000079,学生群体,女,19,广西,南宁,188,53.41,60.6,27,全球通188元,iPhone 14,APP,校园流量包|假期短号|兼职通话,一般,高风险,24,29
CM000080,商务精英,女,51,山西,长治,1,411.0,88.6,1047,全球通88元,华为畅享,营业厅,5G极速套餐|国际漫游|企业VPN,满意,中高风险,3,13
CM000081,家庭用户,男,34,贵州,毕节,145,143.29,43.4,604,动感地带18元,iPhone 14,APP,智能家居|亲情号码|宽带融合,非常满意,高风险,21,12
CM000082,家庭用户,男,42,山西,长治,94,214.72,56.4,732,和家庭198,华为畅享,APP,宽带融合|智能家居|家庭共享套餐,一般,低风险,21,63
CM000083,潮流青年,女,27,河北,唐山,62,59.63,100.1,228,动感地带18元,iPhone SE,10086热线,社交免流|游戏加速|流量不限量,不满意,低风险,1,27
CM000084,家庭用户,女,38,福建,厦门,105,114.73,43.8,333,全球通288元,小米14,营业厅,儿童手表|家庭共享套餐|智能家居,满意,中风险,22,11
CM000085,银发一族,男,73,湖北,襄阳,74,32.33,2.5,385,移动畅享套餐,iPhone 14,短信营业厅,紧急呼叫|防诈提醒|健康监测,满意,中高风险,15,10
CM000086,商务精英,男,37,海南,琼海,5,377.33,60.5,1113,和家庭168,Redmi Note 12,APP,商务彩铃|5G极速套餐|企业VPN,满意,低风险,16,9
CM000087,家庭用户,女,40,甘肃,天水,110,206.43,53.1,720,移动大流量卡,iPhone 14,10086热线,智能家居|儿童手表|宽带融合,满意,中高风险,12,144
CM000088,潮流青年,女,18,四川,宜宾,201,54.68,89.6,235,和家庭198,华为Mate 60,10086热线,社交免流|流量不限量|游戏加速,不满意,中风险,17,45
CM000089,潮流青年,男,26,贵州,贵阳,207,116.1,99.9,66,全球通388元,OPPO Find X6,10086热线,游戏加速|视频会员|社交免流,一般,中低风险,11,2
CM000090,商务精英,男,51,新疆,乌鲁木齐,12,551.77,86.5,1744,神州行38元,vivo X100,10086热线,云存储|商务彩铃|企业VPN,满意,中低风险,22,23
CM000091,商务精英,女,52,甘肃,白银,34,308.74,53.2,422,5G智享套餐,小米14,微信公众号,商务彩铃|云存储|企业VPN,一般,中风险,23,36
CM000092,蓝领工人,女,42,湖北,荆州,121,88.63,33.3,277,神州行38元,iPhone 15 Pro,网上营业厅,视频通话|务工套餐|语音优惠,非常满意,中风险,9,42
CM000093,商务精英,男,32,河南,开封,78,165.56,48.6,394,和家庭168,华为Mate 60,微信公众号,云存储|国际漫游|企业VPN,满意,中低风险,14,11
CM000094,家庭用户,男,32,陕西,渭南,91,223.82,50.4,299,5G智享套餐,iPhone 15 Pro,APP,智能家居|儿童手表|宽带融合,一般,低风险,1,106
CM000095,潮流青年,女,16,新疆,石河子,167,46.23,46.6,248,移动畅享套餐,荣耀Magic6,10086热线,游戏加速|视频会员|音乐畅听,非常不满意,中低风险,27,3
CM000096,家庭用户,女,49,山西,长治,195,229.7,37.7,626,全球通188元,iPhone 14,营业厅,宽带融合|智能家居|儿童手表,满意,中低风险,15,14
CM000097,潮流青年,男,23,上海,长宁区,207,126.63,70.1,216,神州行38元,小米14,APP,社交免流|音乐畅听|视频会员,不满意,中低风险,2,6
CM000098,蓝领工人,男,42,内蒙古,包头,74,56.14,30.2,333,全球通388元,小米13,短信营业厅,务工套餐|老乡号码|语音优惠,一般,高风险,27,13
CM000099,商务精英,男,42,内蒙古,呼和浩特,10,254.51,58.5,1940,全球通188元,iPhone SE,短信营业厅,云存储|商务彩铃|企业VPN,满意,中低风险,4,32
CM000100,潮流青年,女,22,山东,青岛,174,63.33,80.7,69,全球通128元,realme GT5,短信营业厅,音乐畅听|社交免流|流量不限量,不满意,中风险,17,6
CM000101,潮流青年,女,27,西藏,昌都,67,111.69,39.3,156,和家庭168,华为P60,APP,视频会员|音乐畅听|社交免流,满意,中低风险,3,5
CM000102,银发一族,女,80,江西,南昌,213,56.52,4.2,453,和家庭198,iPhone SE,APP,语音畅聊包|健康监测|大字版APP,一般,高风险,17,18
CM000103,潮流青年,男,27,上海,浦东新区,213,78.9,102.1,109,动感地带18元,iPhone SE,微信公众号,音乐畅听|社交免流|流量不限量,不满意,低风险,30,114
CM000104,学生群体,男,18,陕西,西安,60,26.34,35.5,119,移动畅享套餐,小米14,网上营业厅,夜间流量|兼职通话|学习APP免流,一般,中风险,11,59
CM000105,银发一族,女,55,山东,青岛,73,27.82,0.8,440,和家庭198,Redmi Note 12,微信公众号,大字版APP|健康监测|防诈提醒,一般,中风险,13,17
CM000106,潮流青年,男,21,青海,德令哈,163,111.66,126.2,140,全球通188元,OPPO Find X6,10086热线,音乐畅听|社交免流|视频会员,满意,低风险,10,40
CM000107,蓝领工人,男,47,福建,福州,231,46.3,31.1,505,和家庭168,华为Mate 60,短信营业厅,语音优惠|老乡号码|闲时流量,满意,中高风险,20,6
CM000108,潮流青年,男,23,黑龙江,牡丹江,197,99.07,114.7,58,全球通288元,三星S24,网上营业厅,游戏加速|社交免流|视频会员,满意,低风险,12,3
CM000109,潮流青年,男,16,辽宁,锦州,11,55.46,132.7,237,神州行38元,三星S24,短信营业厅,音乐畅听|游戏加速|视频会员,非常满意,高风险,13,16
CM000110,家庭用户,女,46,湖南,衡阳,20,116.01,50.3,720,移动畅享套餐,三星S24,营业厅,家庭共享套餐|儿童手表|亲情号码,不满意,中高风险,1,0
CM000111,蓝领工人,女,37,广东,深圳,41,88.65,30.7,584,全球通128元,小米13,10086热线,老乡号码|闲时流量|视频通话,一般,低风险,20,8
CM000112,潮流青年,男,16,广西,北海,103,96.61,117.6,262,5G融合套餐299,iPhone SE,APP,音乐畅听|社交免流|游戏加速,满意,中低风险,20,13
CM000113,商务精英,男,39,天津,河东区,136,356.5,95.5,1196,移动畅享套餐,iPhone SE,10086热线,国际漫游|云存储|企业VPN,满意,低风险,16,26
CM000114,商务精英,男,41,江苏,苏州,164,447.76,46.6,374,移动畅享套餐,realme GT5,营业厅,5G极速套餐|云存储|国际漫游,一般,中高风险,2,75
CM000115,商务精英,男,33,山西,太原,3,166.75,20.4,1151,全球通188元,iPhone 15 Pro,10086热线,云存储|国际漫游|企业VPN,一般,低风险,15,40
CM000116,商务精英,男,50,河北,邯郸,160,563.46,84.0,1810,全球通128元,Redmi Note 12,APP,5G极速套餐|企业VPN|商务彩铃,满意,中风险,30,25
CM000117,学生群体,男,15,宁夏,吴忠,179,57.92,34.2,86,和家庭168,三星S24,短信营业厅,兼职通话|假期短号|夜间流量,满意,中风险,5,7
CM000118,潮流青年,男,18,新疆,石河子,202,72.49,114.1,149,全球通388元,三星S24,短信营业厅,流量不限量|音乐畅听|视频会员,满意,中风险,14,0
CM000119,潮流青年,男,18,吉林,长春,126,109.24,93.3,200,移动大流量卡,华为Mate 60,APP,社交免流|音乐畅听|视频会员,不满意,中低风险,11,64
CM000120,银发一族,男,75,甘肃,酒泉,172,21.07,4.3,503,和家庭198,iPhone SE,网上营业厅,大字版APP|防诈提醒|紧急呼叫,非常不满意,中风险,19,136
CM000121,学生群体,男,22,山西,大同,113,42.76,20.9,48,移动畅享套餐,小米13,网上营业厅,兼职通话|假期短号|夜间流量,非常满意,中风险,1,84
CM000122,学生群体,男,18,黑龙江,大庆,195,23.62,36.0,78,全球通388元,iPhone 15 Pro,短信营业厅,夜间流量|假期短号|学习APP免流,满意,中高风险,24,16
CM000123,潮流青年,女,22,广西,桂林,121,40.71,55.9,268,全球通128元,Redmi Note 12,10086热线,音乐畅听|社交免流|流量不限量,非常不满意,中低风险,19,5
CM000124,蓝领工人,男,34,西藏,山南,50,70.72,24.5,579,全球通188元,小米13,APP,老乡号码|务工套餐|闲时流量,一般,中风险,23,7
CM000125,蓝领工人,女,38,甘肃,张掖,33,93.03,19.9,319,5G融合套餐299,OPPO Find X6,10086热线,务工套餐|语音优惠|老乡号码,一般,低风险,4,47
CM000126,潮流青年,女,25,天津,河北区,223,47.45,53.3,105,5G融合套餐299,Redmi Note 12,APP,视频会员|音乐畅听|游戏加速,一般,中低风险,2,7
CM000127,潮流青年,男,27,江西,景德镇,101,81.94,36.3,290,全球通288元,OPPO Find X6,10086热线,社交免流|音乐畅听|流量不限量,满意,中低风险,7,60
CM000128,家庭用户,男,35,天津,和平区,194,94.32,25.2,766,神州行孝心卡,小米13,网上营业厅,家庭共享套餐|宽带融合|亲情号码,满意,中风险,5,9
CM000129,家庭用户,女,41,福建,漳州,160,111.75,15.7,207,动感地带校园版,小米14,短信营业厅,亲情号码|家庭共享套餐|儿童手表,一般,低风险,4,4
CM000130,潮流青年,女,19,河北,邯郸,232,113.63,127.4,195,移动大流量卡,小米13,微信公众号,音乐畅听|游戏加速|社交免流,非常满意,低风险,2,46
CM000131,家庭用户,男,36,江西,赣州,229,215.22,55.1,522,5G智享套餐,华为畅享,APP,家庭共享套餐|亲情号码|儿童手表,满意,高风险,20,49
CM000132,商务精英,男,53,河北,廊坊,185,372.17,88.6,852,神州行孝心卡,华为P60,微信公众号,企业VPN|5G极速套餐|商务彩铃,一般,中低风险,5,1
CM000133,学生群体,男,14,北京,东城区,181,48.92,46.6,132,动感地带18元,华为Mate 60,营业厅,学习APP免流|校园流量包|假期短号,满意,中低风险,1,54
CM000134,商务精英,女,50,浙江,温州,39,565.82,84.6,1486,5G智享套餐,realme GT5,网上营业厅,国际漫游|企业VPN|5G极速套餐,一般,中低风险,17,34
CM000135,学生群体,男,15,山东,临沂,47,42.28,34.5,28,5G智享套餐,iPhone SE,短信营业厅,假期短号|兼职通话|校园流量包,不满意,中风险,4,44
CM000136,学生群体,女,15,上海,徐汇区,9,44.58,74.3,126,全球通128元,小米14,短信营业厅,夜间流量|校园流量包|假期短号,非常不满意,低风险,12,51
CM000137,潮流青年,女,20,四川,南充,173,69.28,114.1,254,神州行38元,Redmi Note 12,微信公众号,社交免流|音乐畅听|视频会员,一般,低风险,11,53
CM000138,商务精英,女,34,新疆,喀什,64,399.44,61.5,1848,神州行38元,realme GT5,网上营业厅,企业VPN|商务彩铃|云存储,一般,低风险,8,77
CM000139,银发一族,女,75,湖南,岳阳,26,29.17,3.7,238,和家庭198,iPhone SE,营业厅,防诈提醒|语音畅聊包|大字版APP,不满意,中高风险,3,37
CM000140,银发一族,女,80,甘肃,兰州,199,32.31,0.8,156,全球通388元,华为畅享,网上营业厅,健康监测|语音畅聊包|防诈提醒,满意,中风险,13,4
CM000141,商务精英,女,49,吉林,延边,207,207.93,66.2,814,神州行孝心卡,华为P60,短信营业厅,国际漫游|5G极速套餐|商务彩铃,满意,低风险,15,93
CM000142,银发一族,女,63,黑龙江,牡丹江,122,56.61,1.5,385,全球通188元,iPhone 14,网上营业厅,防诈提醒|健康监测|大字版APP,满意,中低风险,8,84
CM000143,商务精英,女,28,甘肃,张掖,155,135.87,84.0,323,动感地带校园版,三星S24,网上营业厅,商务彩铃|5G极速套餐|云存储,非常满意,高风险,24,47
CM000144,银发一族,男,62,内蒙古,鄂尔多斯,15,27.6,4.1,132,移动畅享套餐,iPhone 14,微信公众号,语音畅聊包|健康监测|紧急呼叫,满意,高风险,22,1
CM000145,家庭用户,男,45,吉林,延边,161,197.55,19.5,491,5G智享套餐,OPPO Find X6,微信公众号,儿童手表|宽带融合|亲情号码,一般,中风险,14,7
CM000146,商务精英,男,53,黑龙江,牡丹江,220,479.26,99.7,675,全球通288元,小米14,网上营业厅,商务彩铃|国际漫游|云存储,一般,低风险,14,50
CM000147,潮流青年,男,16,广西,桂林,13,50.85,112.7,202,神州行38元,vivo X100,短信营业厅,流量不限量|音乐畅听|视频会员,满意,中低风险,11,85
CM000148,银发一族,女,60,广西,玉林,240,57.54,4.1,591,全球通188元,华为畅享,10086热线,紧急呼叫|语音畅聊包|大字版APP,非常满意,中低风险,16,4
CM000149,家庭用户,男,38,河南,新乡,143,230.63,18.3,255,动感地带18元,iPhone 15 Pro,微信公众号,家庭共享套餐|儿童手表|智能家居,满意,中高风险,16,52
CM000150,潮流青年,男,25,新疆,乌鲁木齐,39,94.32,142.9,253,全球通188元,荣耀Magic6,短信营业厅,流量不限量|视频会员|游戏加速,不满意,低风险,10,95
CM000151,银发一族,男,63,浙江,绍兴,119,25.92,0.6,198,动感地带校园版,荣耀Magic6,营业厅,健康监测|大字版APP|紧急呼叫,一般,低风险,23,22
CM000152,学生群体,男,18,云南,丽江,2,24.79,36.7,150,和家庭168,华为Mate 60,网上营业厅,假期短号|校园流量包|学习APP免流,不满意,中风险,18,1
CM000153,家庭用户,男,42,黑龙江,佳木斯,109,167.01,41.2,404,神州行38元,iPhone 15 Pro,10086热线,宽带融合|儿童手表|智能家居,非常不满意,低风险,16,17
CM000154,蓝领工人,男,39,黑龙江,牡丹江,192,97.68,19.2,276,移动畅享套餐,小米13,APP,闲时流量|务工套餐|语音优惠,不满意,低风险,18,6
CM000155,银发一族,女,65,河南,新乡,160,57.53,2.4,314,5G融合套餐299,荣耀Magic6,营业厅,防诈提醒|紧急呼叫|健康监测,一般,低风险,30,14
CM000156,商务精英,男,40,宁夏,吴忠,128,354.68,32.0,793,动感地带18元,小米13,微信公众号,商务彩铃|云存储|国际漫游,非常满意,中低风险,17,24
CM000157,商务精英,女,43,山西,临汾,39,214.33,23.7,1200,5G融合套餐299,华为P60,营业厅,云存储|企业VPN|国际漫游,不满意,高风险,10,22
CM000158,商务精英,男,46,河北,石家庄,119,292.47,29.3,1890,5G智享套餐,vivo X100,10086热线,商务彩铃|国际漫游|企业VPN,满意,低风险,22,9
CM000159,家庭用户,女,44,四川,成都,136,236.99,14.8,473,和家庭198,小米13,短信营业厅,家庭共享套餐|宽带融合|亲情号码,非常满意,中风险,11,36
CM000160,潮流青年,男,16,湖南,湘潭,224,41.79,143.7,54,全球通128元,OPPO Find X6,APP,社交免流|游戏加速|视频会员,非常不满意,高风险,17,31
CM000161,学生群体,女,15,青海,海东,109,56.12,36.5,44,神州行孝心卡,华为畅享,营业厅,学习APP免流|夜间流量|兼职通话,不满意,中风险,32,48
CM000162,潮流青年,女,19,湖北,襄阳,26,118.11,64.4,149,神州行孝心卡,荣耀Magic6,APP,游戏加速|音乐畅听|流量不限量,满意,低风险,1,14
CM000163,学生群体,女,15,湖北,武汉,80,53.12,74.1,93,5G智享套餐,iPhone 15 Pro,10086热线,校园流量包|假期短号|学习APP免流,一般,低风险,15,69
